Seite                          Markierte Einträge             Gesamtzahl der Einträge
=====                          ==================             =======================
29                             9                              14
30                             5                              28
31                             8                              31
32                             20                             31
33                             10                             27
34                             10                             30
35                             15                             34
36                             7                              29
37                             10                             37
38                             9                              20
39                             14                             24
40                             12                             33
41                             16                             35
50                             6                              29
51			       17                             29
52			       12                             15
53                             31			      37
54                             11 			      13
55                             23                             27
56                             15                             26
57                             26                             31
58                             17                             23
59			       13                             26
60                             16                             23
61                             20			      28
62                             22                             26
63                             18                             31
64                             27                             41
65                             12                             17
66                             9                              10
67			       21			      27
68			       29                             34
69                             27                             38
70                             10                             31
71                             8                              8
72                             19                             30
73                             8                              27
74                             21                             35
75                             12                             21
76			       19                             33
77                             12                             27
78                             19                             39
79                             12                             20
80                             5                              28
81                             15                             23
82                             12                             21
83                             12                             24
84			       13 			      21
85                             11                             16
86                             10                             31
87                             5                              15
90                             5                              22
100                            17                             31
110                            2                              26
120                            4                              30
130                            8                              25
140                            9                              24
150                            19                             39
160                            9                              21
170                            2                              10
180                            17                             31
190                            9                              27
200                            12                             25
210                            17                             23
220                            11                             24
230                            8                              17
240                            31                             38
250                            10                             25
260                            11                             17
270                            19                             22
280                            12                             22
290                            17                              40
300                            15                             29
310                            10                             25
320                            10                             28
330                            11                             28
340                            11                             24
350                            7                              25
360                            20                             30
370                            13                             20
380                            8                              24
390                            17                             32
400                            18                             20
410                            19                             26
420                            10                             15
430                            14                             33
440                            14                             28
450                            10                             20
460                            10                             32
468                            16                             29
470                            10                             23
480                            10                             22
490                            18                             28
500                            7                              8
501                            9                              16
502                            2                              5
503                            16                             28
504                            21                             26
505                            12                             19
506                            9                              22
507                            11                             19
508                            21                             35
509                            18                             26
510                            19                             27
520                            4                              23
530                            13                             32
540                            12                             27
550                            8                              20
560                            16                             30
570                            17                             21
580                            29                             34
590                            19                             39
600                            13                             22
610                            22                             46
620                            19                             35
630                            8                              11
640                            16                             22
650                            9                              24
660                            14                             25
670                            12                             23
680                            18                             30
690                            20                             24
700                            20                             38
710                            10                             27
720                            22                             36
730                            22                             37
740                            7                              8
750                            11                             28
760                            24                             28
770                            18                             29
780                            25                             34
790                            14                             35
800                            10                             19
810                            18                             21
820                            6                              21
830                            20                             37
840                            18                             33
850                            16                             33
860                            13                             32
870                            13                             24
880                            14                             24
890                            9                              24
900                            19                             40
910                            20                             25
920                            12                             26
930                            8                              24
940                            19                             35
950                            7                              7
960                            16                             23
970                            12                             32
980                            9                              19
990                            18                             23
1000                           20                             30
1010                           14                             31
1020                           10                             18
1030                           9                              30
1040                           13                             18
1050                           19                             26
1060                           28                             38
1070                           21                             42
1080                           20                             37
1090                           19                             32
1100                           22                             32
1120                           20                             34
1130                           13                             28
1140                           14                             22
1150                           12                             28
1160                           12                             21
1170                           13                             22
1180                           14                             25
1190                           23                             35
1200                           11                             21
1210                           16                             20
1220                           9                              13
1230                           21                             31
1240                           13                             34
1250                           9                              23
1260                           25                             37
1270                           16                             22
1280                           12                             27
